�;;;;;;;;;;;;;;;;;
55 000 $,1 комната,1341 $ за м²,9 из 25,год постройки2019,монолитно-каркасные,41 / - / 10 м²,ул. Ревуцкого,;;;;;;;;;;;;;;;;;
136 000 $,2 комнаты,1915 $ за м²,3 из 10,год постройки2019,монолитно-каркасные,71 / 33.1 / 14.9 м²,ул. Набережно-Рыбальская,3;;;;;;;;;;;;;;;;;
139 000 $,2 комнаты,2439 $ за м²,3 из 6,год постройки1957,кирпичные,57 / 20 / 33 м²,Марьяненко пер., 11/12;;;;;;;;;;;;;;;;;
210 000 $,3 комнаты,1409 $ за м²,7 из 12,год постройки2001,кирпичные,149 / 87 / 16 м²,ул. Павловская,18;;;;;;;;;;;;;;;;;
195 000 $,1 комната,3900 $ за м²,5 из 16,год постройки2017,монолитно-каркасные,50 / 17 / 15 м²,ул. Саперное Поле,3;;;;;;;;;;;;;;;;;
119 000 $,3 комнаты,1587 $ за м²,3 из 25,год постройки2018,панельные,75 / 46 / 11 м²,ул. Русовой, 5б;;;;;;;;;;;;;;;;;
410 000 $,3 комнаты,4457 $ за м²,11 из 26,год постройки2013,монолитно-каркасные,92 м²,ул. Драгомирова,16;;;;;;;;;;;;;;;;;
93 000 $,2 комнаты,1550 $ за м²,17 из 22,год постройки2007,утепленная панель,60 / 30 / 11.1 м²,ул. Яблонской,6;;;;;;;;;;;;;;;;;
137 634 $,2 комнаты,1939 $ за м²,19 из 19,*** not found ,*** not found ,70.99 / 47.72 / 11.26 м²,ул. Гончара,;;;;;;;;;;;;;;;;;
115 000 $,2 комнаты,1901 $ за м²,4 из 5,год постройки2020,*** not found ,60.51 / 16 / 24.9 м²,ул. Университетская,;;;;;;;;;;;;;;;;;
85 000 $,1 комната,1545 $ за м²,19 из 25,*** not found ,<span>6 июня 2020 г.</span>,55 / - / 16 м²,Днепровская наб.,;;;;;;;;;;;;;;;;;
130 000 $,3 комнаты,1566 $ за м²,6 из 10,год постройки2013,монолитно-каркасные,83 / 48 / 12 м²,ул. Регенераторная, 4к4;;;;;;;;;;;;;;;;;
113 000 $,1 комната,2055 $ за м²,4 из 20,год постройки2015,монолитно-каркасные,55 / 20 / 14 м²,ул. Демеевская,14;;;;;;;;;;;;;;;;;
39 500 $,1 комната,1097 $ за м²,23 из 25,*** not found ,<span>4 ноября 2020 г.</span>,36 / - / 10 м²,ул. Новополевая,;;;;;;;;;;;;;;;;;
68 000 $,3 комнаты,1046 $ за м²,9 из 9,год постройки1963,кирпичные,65 / 40 / 8 м²,ул. Бастионная, 1/36;;;;;;;;;;;;;;;;;
155 000 $,3 комнаты,1384 $ за м²,3 из 25,год постройки2019,монолитно-каркасные,112 / 43 / 26 м²,ул.  Сверстюка (Марины Расковой),6;;;;;;;;;;;;;;;;;
110 000 $,2 комнаты,2200 $ за м²,3 из 3,год постройки2013,монолитно-каркасные,50 / 32.1 / 10 м²,просп. Героев Сталинграда, 2д;;;;;;;;;;;;;;;;;
75 000 $,2 комнаты,1103 $ за м²,12 из 24,*** not found ,<span>18 февраля</span>,68 / 28.78 / 19.58 м²,просп. Правды,;;;;;;;;;;;;;;;;;
142 000 $,3 комнаты,1671 $ за м²,2 из 15,год постройки2018,монолитно-каркасные,85 / 42 / 18 м²,просп. Правды,43;;;;;;;;;;;;;;;;;
80 000 $,2 комнаты,1569 $ за м²,6 из 9,год постройки1981,утепленная панель,51 / 30 / 7 м²,просп. Героев Сталинграда,26;;;;;;;;;;;;;;;;;
43 000 $,2 комнаты,935 $ за м²,4 из 4,*** not found ,<span>30 июня 2020 г.</span>,46 / 22 / 16 м²,ул. Яблочная,;;;;;;;;;;;;;;;;;
248 000 $,5 комнат,1198 $ за м²,10 из 14,год постройки2015,монолитно-каркасные,207 / 95 / 48 м²,ул. Коновальца (Щорса), 36е;;;;;;;;;;;;;;;;;
280 000 $,3 комнаты,2154 $ за м²,8 из 11,год постройки2005,монолитно-каркасные,130 / 73 / 14 м²,просп. Героев Сталинграда,4;;;;;;;;;;;;;;;;;
209 000 $,2 комнаты,2580 $ за м²,2 из 10,год постройки2003,монолитно-каркасные,81 / 40 / 15 м²,ул. Мирного,14;;;;;;;;;;;;;;;;;
58 990 $,1 комната,1439 $ за м²,3 из 32,*** not found ,<span>6 мая 2020 г.</span>,41 / 13 / 17 м²,ул.  Заболотного,;;;;;;;;;;;;;;;;;
111 000 $,1 комната,2220 $ за м²,23 из 25,год постройки2019,монолитно-каркасные,50 / 29 / 21 м²,ул.  Сверстюка (Марины Расковой),6;;;;;;;;;;;;;;;;;
97 000 $,3 комнаты,1796 $ за м²,2 из 9,год постройки1971,кирпичные,54 / 41 / 6 м²,ул. Предславинская,14;;;;;;;;;;;;;;;;;
68 000 $,3 комнаты,819 $ за м²,7 из 25,*** not found ,*** not found ,83 / - / 13 м²,ул.  Заболотного,;;;;;;;;;;;;;;;;;
184 900 $,3 комнаты,2283 $ за м²,3 из 13,год постройки1980,кирпичные,81 / 50 / 9 м²,ул. Омельяновича-Павленко (Суворова),11;;;;;;;;;;;;;;;;;
61 500 $,2 комнаты,1398 $ за м²,3 из 5,год постройки1959,кирпичные,44 / 30 / 6 м²,ул. Ереванская,15;;;;;;;;;;;;;;;;;
111 000 $,3 комнаты,1233 $ за м²,2 из 25,год постройки2014,монолитно-каркасные,90 / 47 / 14 м²,ул. Чавдар,4;;;;;;;;;;;;;;;;;
190 700 $,2 комнаты,2414 $ за м²,11 из 11,*** not found ,*** not found ,79 / - / 14 м²,ул. Бойчука (Киквидзе),;;;;;;;;;;;;;;;;;
53 000 $,1 комната,1233 $ за м²,21 из 24,*** not found ,*** not found ,43 / 13.61 / 16.84 м²,просп. Правды,;;;;;;;;;;;;;;;;;
69 000 $,2 комнаты,1353 $ за м²,2 из 9,год постройки1980,кирпичные,51 / 29 / 8 м²,ул. Коперника, 16б;;;;;;;;;;;;;;;;;
169 000 $,4 комнаты,1340 $ за м²,7 из 8,год постройки2019,монолитно-каркасные,126.1 / 75.2 / 17 м²,ул. Лебедева,;;;;;;;;;;;;;;;;;
95 000 $,2 комнаты,1730 $ за м²,10 из 16,год постройки1993,утепленная панель,54.9 / 29 / 8.5 м²,ул. Драгоманова, 40а;;;;;;;;;;;;;;;;;
110 000 $,3 комнаты,1000 $ за м²,13 из 18,год постройки2003,монолитно-каркасные,110 / 52 / 13 м²,ул. Ахматовой,31;;;;;;;;;;;;;;;;;
5 880 000 грн,5 комнат,55 472 грн за м²,22 из 25,год постройки2017,монолитно-каркасные,106 / 46.5 / 34.2 м²,просп. Голосеевский (40-летия Октября), 95а;;;;;;;;;;;;;;;;;
99 999 $,3 комнаты,1389 $ за м²,5 из 22,год постройки1996,кирпичные,72 / 47 / 9 м²,ул. Панельная,3;;;;;;;;;;;;;;;;;
327 000 $,4 комнаты,2680 $ за м²,17 из 20,*** not found ,<span>9 февраля</span>,122 м²,ул. Сечевых Стрельцов (Артёма),;;;;;;;;;;;;;;;;;
85 000 $,2 комнаты,1269 $ за м²,13 из 34,*** not found ,<span>21 января</span>,67 / - / 12 м²,ул.  Заболотного,;;;;;;;;;;;;;;;;;
790 000 $,6 комнат,2894 $ за м²,6 из 6,год постройки1914,кирпичные,273 / 240 / 27 м²,ул. Богомольца,5;;;;;;;;;;;;;;;;;
